"Gellish";"English";"Version:";"8.4";"8-aug-13";"domain dictionary";"WWW namespaces mappings";60000;69999;1060000;1069999;;;;;;;;;;;;;;;;
0;69;54;71;16;2;101;;;1;60;3;15;201;65;4;14;8;67;9;10;12;13;50;68;;
"Presentation sequence";"UID of language of left hand object name";"Language of left hand object name";"UID of language community for left hand object name";"Name of language community for left hand object name";"UID of left hand object";"Name of left hand object";"Phrase (label)";"Inverse phrase (label)";"UID of fact";"UID of relation type";"Name of relation
type";"UID of right hand object";"Name of right hand object";"Partial description";"Full description";"Remarks";"Status";"Successor of relation ID";"Date of start of life";"Date of latest change";"Originator of latest change";"Reference";"UID of collection of facts";"Name of collection of facts";"Gellish base phrase";"Gellish inverse phrase"
27;910036;"English";;;;"someValuesFrom";;;1060074;1981;"is a synonym of";;;;;"Not yet available in Gellish. The maker of a Wine must be a Winery. The allValuesFrom restriction is on the hasMaker property of this Wine class only. Makers of Cheese are not constrained by this local restriction. 
owl:someValuesFrom is similar. If we replaced owl:allValuesFrom with owl:someValuesFrom in the example above, it would mean that at least one of the hasMaker properties of a Wine must point to an individual that is a Winery.";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Property Restrictions";;;;
28;910036;"English";;;6280;"minCardinality";;;1060075;1981;"is a synonym of";6280;"lower simultaneous cardinality";;;"In Gellish this is indicated by the minimum and maximum simultaneous cardinalities 0 and 1.";"accepted";;"12-08-2013";"07-11-2017";"Andries van Renssen";"Arbitrary Cardinality";;;;
29;910036;"English";;;6281;"maxCardinality";;;1060076;1981;"is a synonym of";6281;"upper simultaneous cardinality";;;"In Gellish this is indicated by the minimum and maximum simultaneous cardinalities 0 and 1.";"accepted";;"12-08-2013";"07-11-2017";"Andries van Renssen";"Arbitrary Cardinality";;;;
30;910036;"English";;;;"cardinality";;;1060077;1981;"is a synonym of";;;;;"abstract supertype; no equivalent is needed";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Arbitrary Cardinality";;;;
31;910036;"English";;;193259;"Ontology";;;1060078;1981;"is a synonym of";193259;"ontology";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Header Information";;;;
32;910036;"English";;;5444;"imports";;;1060079;1981;"is a synonym of";5444;"inclusion of information";;;"in Gellish not only ontologies can be included but any collection of facts.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Header Information";;;"is included in";
33;910036;"English";;;5255;"intersectionOf";;;1060080;1981;"is a synonym of";5255;"intersection of sets";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Class Intersection";;;"is an intersection of";
34;910036;"English";;;;"xsd datatypes";;;1060081;1981;"is a synonym of";;;;;"abstract supertype; no equivalent is needed";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Datatypes";;;;
35;910036;"English";;;4682;"versionInfo";;;1060082;1981;"is a synonym of";4682;"description of an object";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Versioning";;;"is described by encoding as";
36;910036;"English";;;1393;"priorVersion";;;1060083;1981;"is a synonym of";1393;"version association between objects";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Versioning";;;"is a next version of";
37;910036;"English";;;;"backwardCompatibleWith";;;1060084;1981;"is a synonym of";;;;;"New versions of the Gellish language always contain a subset that is backward compatible with earlier Gellish versions, just like natural languages.";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Versioning";;;;
38;910036;"English";;;5128;"incompatibleWith";;;1060085;1981;"is a synonym of";5128;"compliancy to a criterion";;;"New versions of the Gellish language always contain a subset that is backward compatible with earlier Gellish versions, just like natural languages.";"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Versioning";;;"is compliant with";
39;910036;"English";;;;"DeprecatedClass";;;1060086;1981;"is a synonym of";;;;;"Deprecated classes are in Gellish indicated by the status 'deleted'";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Versioning";;;;
40;910036;"English";;;;"DeprecatedProperty";;;1060087;1981;"is a synonym of";;;;;"Deprecated classes are in Gellish indicated by the status 'deleted'";"ignore";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Versioning";;;;
45;910036;"English";;;4682;"AnnotationProperty";;;1060088;1981;"is a synonym of";4682;"description of an object";;;;"accepted";;"12-08-2013";"12-08-2013";"Andries van Renssen";"Annotation Properties";;;"is described by encoding as";
