Gellish	English	Version:	9.0	27-okt-16	Dictionary+Knowledge about Roads		Buildings, civil and furniture																				
0	69	54	71	16	44	2	101	1	60	3	45	15	201	65	4	66	7	14	8	67	9	10	12	13	50	68	
Presentation sequence	UID of the languge	Language of the name of the left hand object	UID of language community	Language community for left hand object name	Simultaneous cardinalities	UID of left hand object	Name of left hand object	UID of idea	UID of relation type	Name of relation type	Simultaneous cardinalities	UID of right hand object	Name of right hand object	Partial definition	Full definition	UID of UoM	UoM	Remarks	Status	UID of successor of relation	Date of start of life	Date of latest change	Originator of latest change	Reference	UID of collection of ideas	Name of collection of ideas	
156	910036	English	195444	civil technology		45.422	roundabout with four lanes	1.047.620	1.146	is a kind of		44.132	roundabout	at which four lanes enable vehicles to move around a central island.	is a roundabout at which four lanes enable vehicles to move around a central island.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
173	910036	English	195444	civil technology		45.425	single carriageway with two lanes	1.047.622	1.146	is a kind of		45.291	single carriageway	that has two lanes in parallel.	is a single carriageway that has two lanes in parallel.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
169	910036	English	195444	civil technology		45.429	dual carriageway with four lanes	1.047.623	1.146	is a kind of		45.282	dual carriageway	that has four lanes largely in parallel.	is a dual carriageway that has four lanes largely in parallel.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
96	910036	English	195444	civil technology		45.431	road access	210.600.098	1.261	can be a part of a		40.153	road						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
162	910036	English	195444	civil technology		45.431	road access	1.047.624	1.146	is a kind of		45.411	carriageway	that provides access to a road.	is a carriageway that provides access to a road.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
185	910036	English	195444	civil technology		45.432	acceleration lane	1.047.626	1.146	is a kind of		43.427	lane	that is intended for enabling vehicles to accelerate to about the speed of other traffic.	is a lane that is intended for enabling vehicles to accelerate to about the speed of other traffic.				proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
186	910036	English	195444	civil technology		45.432	acceleration lane	210.600.101	1.261	can be a part of a		45.411	carriageway						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
90	910036	English	195444	civil technology		45.433	hard shoulder	210.600.103	1.261	can be a part of a		45.411	carriageway						proposed		9-jan-06	9-jan-06	Piet van Merendonk	Piet van Meerendonk	100.535	facts about civil items	
128	910036	English	195444	civil technology		45.434	road exit	210.600.105	1.261	can be a part of a		40.153	road					is overbodig omdat afrit een specialisatie van rijbaan is en hij daarvan erft dat hij deel kan zijn van een weg.	inherited		12-jan-06	12-jan-06	Andries van Renssen	Piet van Meerendonk	100.535	facts about civil items	
158	910036	English	195444	civil technology		45.433	hard shoulder	1.047.628	1.146	is a kind of		45.435	shoulder	that is a hardened and is located alongside a road and enables to carry vehicles.	is a shoulder that is a hardened and is located alongside a road and enables to carry vehicles.				accepted		2-mrt-06	2-mrt-06	Piet van Merendonk	Piet van Merendonk	100.535	facts about civil items	
